field_id,tag,type,has_options,options_count,is_yes_no_question,is_required,label_length,keyword_select,rule_prediction,lr_prediction,lr_confidence,final_prediction,final_confidence,phase4_used
raw_form,input,text,0,0,0,1,10,0,text,text,0.9530423546738639,text,0.9530423546738639,False
raw_form,input,text,0,0,0,1,9,0,text,text,0.9545150085327511,text,0.9545150085327511,False
raw_form,input,text,0,0,0,1,5,0,text,text,0.9599768645091361,text,0.9599768645091361,False
raw_form,input,text,1,2,0,1,8,0,select,select,0.8840011984126296,select,0.8840011984126296,False
raw_form,input,tel,0,0,0,1,5,0,text,text,0.9599768645091361,text,0.9599768645091361,False
raw_form,input,text,0,0,0,1,14,0,text,text,0.9466867193619806,text,0.9466867193619806,False
raw_form,input,text,0,0,0,1,4,0,text,text,0.96124088743762,text,0.96124088743762,False
raw_form,input,text,0,0,0,1,5,0,text,text,0.9599768645091361,text,0.9599768645091361,False
raw_form,input,text,0,0,0,1,8,0,text,text,0.9559436129887849,text,0.9559436129887849,False
raw_form,input,text,0,0,0,1,16,0,text,text,0.9432120772530928,text,0.9432120772530928,False
raw_form,input,text,0,0,1,1,45,0,select,text,0.7423800051805497,text,0.7423800051805497,False
raw_form,input,text,0,0,1,1,33,0,select,text,0.811420586046067,text,0.811420586046067,False
raw_form,input,text,0,0,1,1,40,0,select,text,0.7730148801128914,text,0.7730148801128914,False
raw_form,input,text,0,0,0,1,24,0,text,text,0.9270819910077628,text,0.9270819910077628,False
raw_form,input,text,0,0,0,1,26,0,text,text,0.9224343179313005,text,0.9224343179313005,False
raw_form,input,text,1,2,0,1,26,0,select,select,0.9329063906637893,select,0.9329063906637893,False
raw_form,input,text,1,2,1,1,35,0,select,select,0.976238843845152,select,0.976238843845152,False
raw_form,input,text,0,0,0,1,29,0,text,text,0.9149529622170681,text,0.9149529622170681,False
raw_form,input,text,0,0,0,1,25,0,text,text,0.9247911295917476,text,0.9247911295917476,False
raw_form,input,text,1,2,1,1,26,0,select,select,0.9681696276208455,select,0.9681696276208455,False
raw_form,input,text,1,2,0,1,28,0,select,select,0.9369694615837224,select,0.9369694615837224,False
raw_form,input,text,0,0,0,1,6,0,text,text,0.9586733911995456,text,0.9586733911995456,False
raw_form,input,text,1,2,0,1,13,0,select,select,0.9000622787327351,select,0.9000622787327351,False
